,Col0,Département,Statut,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Heures_formule,Unités,n,nn
ENS0,0.0,Dept. INFO,PERM,100.0,60-40,0.0,300.0,482.5,182.5,140.0,0.0,1.0,,,,
ENS7,42.0,Dept. SYLE,PERM,100.0,80-20,13.0,335.0,490.5,155.5,98.0,0.0,1.0,,,,
ENS10,63.0,Dept. SE,PERM,100.0,60-40,5.0,275.0,404.0,129.0,77.0,0.0,1.0,,,,
ENS12,0.0,Dept. SYLE,PERM,100.0,60-40,0.0,299.18,377.0,77.82,30.5,0.0,0.0,,,,
ENS13,0.0,Dept. TELECOMS,PERM,100.0,60-40,12.0,209.84,279.75,69.91,69.0,0.0,0.0,,,,
ENS15,0.0,Dept. INFO,PERM,100.0,60-40,20.0,199.45,325.0,125.55,125.5,0.0,0.0,,,,
ENS16,70.0,Dept. INFO,PERM,100.0,60-40,0.0,318.13,396.5,78.37,70.0,0.0,1.0,,,,
ENS18,0.0,Dept. MOSIM,PERM,100.0,80-20,14.0,294.26,368.75,74.49,0.0,0.0,0.0,,,,
ENS23,0.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,300.0,382.0,82.0,82.0,0.0,0.0,,,,
ENS25,0.0,Dept. TELECOMS,PERM,100.0,60-40,4.0,278.47,446.55,168.08,137.25,0.0,1.0,,,,
ENS26,0.0,MGT EM,PERM,100.0,60-40,8.0,250.05,351.5,101.45,101.44,0.0,0.0,,,,
ENS27,0.0,Dept. SYLE,PERM,100.0,80-20,12.0,310.38,458.0,147.62,140.0,0.0,1.0,,,,
ENS31,0.0,Dept. INFO,PERM,100.0,60-40,6.0,270.0,386.0,116.0,116.0,0.0,0.0,,,,
ENS33,0.0,Dept. INFO,PERM,100.0,60-40,20.0,197.81,338.5,140.69,140.0,0.0,1.0,,,,
ENS38,0.0,ICN,PERM,100.0,Autre,56.0,220.0,450.5,230.5,230.49,1.0,1.0,,,,
ENS43,0.0,MGT EM,PERM,100.0,60-40,20.0,200.0,420.29,220.29,220.29,1.0,1.0,,,,
ENS46,0.0,Dept. TELECOMS,CDD,100.0,60-40,0.0,9.3,13.5,4.2,0.0,0.0,0.0,,,,
ENS49,0.0,Dept. TELECOMS,PERM,100.0,80-20,18.0,310.0,434.75,124.75,124.75,0.0,0.0,,,,
ENS50,0.0,Dept. SYLE,PERM,100.0,60-40,5.0,271.99,394.1,122.11,121.0,0.0,0.0,,,,
ENS52,0.0,MGT EM,PERM,100.0,60-40,25.0,175.0,213.75,38.75,38.75,0.0,0.0,,,,
ENS58,24.0,Dept. SYLE,PERM,100.0,60-40,0.0,297.54,451.5,153.96,116.0,0.0,1.0,,,,
ENS60,48.0,Dept. SE,PERM,100.0,60-40,0.0,297.54,430.5,132.96,92.0,0.0,1.0,,,,
ENS61,0.0,Dept. SE,PERM,100.0,60-40,5.0,275.0,423.5,148.5,140.0,0.0,1.0,,,,
ENS64,0.0,MGT EM,PERM,100.0,60-40,6.0,227.21,310.25,83.04,83.04,0.0,0.0,,,,
ENS67,0.0,Dept. INFO,PERM,100.0,60-40,35.0,125.0,130.0,5.0,0.0,0.0,0.0,,,,
ENS68,0.0,Dept. MOSIM,CDD,100.0,80-20,0.0,400.0,521.34,121.34,121.0,0.0,0.0,,,,
ENS69,0.0,Dept. TELECOMS,CDI,100.0,60-40,10.0,241.8,317.5,75.7,0.0,0.0,0.0,,,,
ENS70,0.0,IMA,PERM,100.0,Autre,56.0,220.0,360.0,140.0,140.0,0.0,0.0,,,,
ENS73,0.0,Dept. LAC,CDI,45.0,Autre,22.0,121.0,271.71,150.71,93.0,0.0,1.0,,,,
ENS74,0.0,Dept. LAC,PERM,50.0,Autre,20.0,119.75,120.78,1.03,0.0,0.0,0.0,,,,
ENS75,0.0,Dept. SE,PERM,100.0,80-20,50.0,150.0,193.0,43.0,40.0,0.0,0.0,,,,
ENS76,0.0,Dept. LAC,PERM,100.0,80-20,-12.0,88.07,90.83,2.76,0.0,0.0,0.0,,,,
ENS77,48.0,Dept. INFO,PERM,100.0,60-40,36.0,119.67,202.5,82.83,82.5,0.0,0.0,,,,
ENS78,0.0,MGT EM,PERM,100.0,60-40,20.0,200.0,209.0,9.0,9.0,0.0,0.0,,,,
ENS80,0.0,Dept. TELECOMS,PERM,100.0,80-20,25.0,222.0,456.2,234.2,140.0,0.0,1.0,,,,
ENS84,0.0,Dept. MOSIM,PERM,100.0,80-20,17.0,315.0,510.05,195.05,140.0,0.0,1.0,,,,
ENS85,0.0,Dept. TELECOMS,CDD,100.0,60-40,0.0,134.42,153.9,19.48,19.48,0.0,0.0,,,,
ENS86,0.0,MGT EM,PERM,100.0,60-40,0.0,298.36,394.75,96.39,96.39,0.0,0.0,,,,
ENS87,20.0,Dept. TELECOMS,PERM,100.0,60-40,20.0,200.0,305.25,105.25,105.25,0.0,0.0,,,,
ENS88,99.0,Dept. SYLE,PERM,100.0,60-40,20.0,187.98,266.0,78.02,41.0,0.0,1.0,,,,
ENS90,0.0,Dept. LAC,PERM,100.0,80-20,20.0,295.56,360.8,65.24,34.72,0.0,0.0,,,,
ENS92,0.0,Dept. TELECOMS,PERM,80.0,60-40,0.0,237.38,316.0,78.62,78.0,0.0,0.0,,,,
ENS93,0.0,Dept. SE,PERM,100.0,60-40,20.0,200.0,345.0,145.0,140.0,0.0,1.0,,,,
ENS95,0.0,MGT EM,PERM,100.0,Autre,60.0,200.0,342.0,142.0,142.0,1.0,1.0,,,,
ENS96,24.0,Dept. SE,CDI,100.0,60-40,0.0,297.54,408.0,110.46,110.0,0.0,0.0,,,,
ENS97,0.0,Dept. INFO,PERM,100.0,60-40,20.0,200.0,346.5,146.5,140.0,0.0,1.0,,,,
ENS98,0.0,Dept. SYLE,PERM,100.0,60-40,10.0,250.0,478.5,228.5,139.5,0.0,1.0,,,,
ENS105,0.0,Dept. MOSIM,PERM,100.0,80-20,10.0,342.35,485.75,143.4,140.0,0.0,1.0,,,,
ENS106,0.0,ICN,PERM,100.0,60-40,20.0,199.45,400.5,201.05,200.98,1.0,1.0,,,,
ENS108,0.0,Dept. TELECOMS,PERM,100.0,60-40,20.0,200.0,360.0,160.0,138.0,0.0,1.0,,,,
ENS113,0.0,Dept. INFO,PERM,100.0,60-40,0.0,276.81,458.0,181.19,140.0,0.0,1.0,,,,
ENS114,0.0,Dept. INFO,PERM,100.0,60-40,5.0,275.0,331.0,56.0,55.0,0.0,0.0,,,,
ENS116,0.0,Dept. SYLE,PERM,80.0,60-40,19.0,163.65,261.1,97.45,54.6,0.0,0.0,,,,
ENS117,0.0,Dept. INFO,CDI,100.0,60-40,5.0,286.33,355.5,69.17,49.0,0.0,0.0,,,,
ENS119,0.0,Dept. INFO,PERM,100.0,80-20,10.0,289.36,416.29,126.93,126.79,0.0,0.0,,,,
ENS123,0.0,MGT EM,PERM,100.0,60-40,4.0,188.2,297.0,108.8,108.79,0.0,0.0,,,,
ENS124,0.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,300.0,383.0,83.0,82.0,0.0,0.0,,,,
ENS130,36.0,Dept. SE,PERM,100.0,80-20,4.0,380.0,533.4,153.4,104.0,0.0,1.0,,,,
ENS133,0.0,MGT EM,PERM,100.0,60-40,0.0,298.36,379.25,80.89,80.88,0.0,0.0,,,,
ENS134,0.0,Dept. SYLE,PERM,100.0,60-40,20.0,200.0,328.0,128.0,128.0,0.0,0.0,,,,
ENS135,0.0,Dept. SYLE,PERM,100.0,60-40,0.0,278.69,439.5,160.81,140.0,0.0,1.0,,,,
ENS138,0.0,INTERCULTUREL,PERM,100.0,Autre,60.0,199.45,261.25,61.8,61.73,0.0,0.0,,,,
ENS139,0.0,Dept. INFO,PERM,100.0,60-40,20.0,195.63,412.4,216.77,140.0,0.0,1.0,,,,
ENS140,0.0,Dept. SE,PERM,100.0,60-40,12.0,240.0,417.0,177.0,140.0,0.0,1.0,,,,
ENS141,0.0,Dept. LAC,PERM,100.0,60-40,15.0,225.0,342.0,117.0,114.5,0.0,0.0,,,,
ENS144,0.0,Dept. SYLE,CDI,100.0,60-40,20.0,200.0,284.83,84.83,84.83,0.0,0.0,,,,
ENS150,0.0,BIO,PERM,100.0,Autre,58.0,204.26,360.5,156.24,156.2,1.0,1.0,,,,
ENS151,0.0,Dept. SYLE,PERM,100.0,80-20,18.0,308.31,457.1,148.79,140.0,0.0,1.0,,,,
ENS152,0.0,IMA,PERM,100.0,60-40,19.0,204.44,422.0,217.56,217.56,1.0,1.0,,,,
ENS154,0.0,Dept. LAC,PERM,100.0,80-20,28.0,259.57,333.83,74.26,74.26,0.0,0.0,,,,
ENS157,0.0,Dept. MOSIM,PERM,100.0,80-20,0.0,293.82,415.59,121.77,121.77,0.0,0.0,,,,
ENS160,0.0,MGT EM,PERM,100.0,Autre,60.0,199.45,381.5,182.05,182.04,1.0,1.0,,,,
ENS162,0.0,Dept. MOSIM,PERM,100.0,80-20,10.0,325.0,387.08,62.08,62.0,0.0,0.0,,,,
ENS163,0.0,Dept. INFO,PERM,100.0,60-40,0.0,300.0,356.0,56.0,0.0,0.0,0.0,,,,
ENS166,0.0,Dept. TELECOMS,PERM,100.0,60-40,0.0,300.0,364.5,64.5,64.5,0.0,0.0,,,,
ENS168,0.0,Dept. SYLE,PERM,100.0,60-40,0.0,298.36,328.5,30.14,30.14,0.0,0.0,,,,
ENS170,0.0,Dept. LAC,PERM,100.0,80-20,13.0,289.55,353.93,64.38,64.3,0.0,0.0,,,,
ENS171,0.0,Dept. SYLE,PERM,80.0,80-20,15.0,256.45,349.5,93.05,93.0,0.0,0.0,,,,
ENS174,30.0,Dept. SYLE,PERM,100.0,60-40,0.0,299.18,383.4,84.22,84.0,0.0,0.0,,,,
ENS175,0.0,Dept. INFO,PERM,100.0,60-40,6.0,258.2,331.5,73.3,72.5,0.0,0.0,,,,
ENS178,0.0,Dept. TELECOMS,PERM,100.0,60-40,20.0,197.27,271.0,73.73,73.0,0.0,0.0,,,,
ENS179,0.0,Dept. SYLE,CDI,100.0,60-40,20.0,200.0,282.8,82.8,82.8,0.0,0.0,,,,
ENS181,0.0,Dept. SYLE,PERM,100.0,60-40,0.0,297.54,407.0,109.46,107.0,0.0,0.0,,,,
ENS185,0.0,Dept. SYLE,PERM,100.0,60-40,10.0,190.74,334.5,143.76,140.0,0.0,1.0,,,,
ENS186,0.0,Dept. MOSIM,PERM,100.0,60-40,20.0,118.92,210.0,91.08,90.0,0.0,0.0,,,,
